08-12-19,Update 23: Scalebreaker,structural,6,Elsweyr
05-26-20,Update 26: Greymoor,misc ,233,"Solitude, Vampiric"
08-24-20,Update 27: Stonethorn,structural,24,Solitude
11-02-20,Update 28: Markarth,misc,49,"Dwarven, Reachmen"
03-08-21,Update 29: Flames of Ambition,structural,20,Markarth
05-31-21,Update 30: Blackwood,misc,122,"Leyawiin, Deadlands"
08-23-21,Update 31: Waking Flame,structural,20,Leyawiin
11-01-21,Update 32: The Deadlands,misc,70,"Fargrave, Deadlands (+Ley Wall)"
03-13-22,Update 33: Ascending Tide,structural,20,"Fargrave, Deadlands"
06-06-22,Update 34: High Isle,misc,50,High Isle (+Tribute rewards)
